,variable,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\2021-10-23_A3B_4Zn_Saureus_1
1,photosensitizers,4.5166055700000004e+23
2,molecular_volume,5.034786249387848e-28
3,volume_proportion,303201.9149032609
4,area_proportion,4220498.667077793
5,photon_moles_per_timestep,2.811730743182738e-16
6,dissolved_mo_molar,2.812605472705227e-07
7,quantum_yield,0.48
8,healing,5
9,cell_radius,0.0006203504908994003
10,oxidized_membrane_volume_ratio,0.5607211815930783
11,oxidized_area_ratio,0.001902650954127227
12,fa_moles,0
13,fa_g/L_conc,0.84772
14,fa_conc,0
15,fa_molar,0.0009349450174244477
16,k,228.8844
