,parameter,value
0,simulation_path,"C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\examples\Beirao_et_al\Beirao_et_al, solution-5"
1,singlet_oxygen_diffusion_distance (m),8e-08
2,oxidation_angle,5
3,root_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PDIpy\PDIpy\pdipy
4,medium,water
5,initial_time,0
6,total_time (s),24000.0
7,timestep (s),600.0
8,photosensitizer_mg_per_disc,0.09
9,cm2_per_disc,1.9113449704440304
10,surface_area (m^2),0.00019113449704440306
11,photosensitizer (g/m^2),0.4708726126979151
12,bacterial_specie,Saureus
13,photosensitizer_selection,"5,10,15,20-tetrakis(1-methylpyridinium-4-yl)porphyrin tetra-iodide"
14,soret (m),"{'upper': 4.3e-07, 'lower': 4.0000000000000003e-07}"
15,q (m),"{'upper': 6.25e-07, 'lower': 5.3e-07}"
16,solution_volume (m^3),1.9776427249067468e-13
17,photosensitizer_molar,383.56665066484425
18,visible (nm),"{'upper': 7.8e-07, 'lower': 3.9e-07}"
19,light_source,OSRAM 2' 18W/840 lamps
20,visible_proportion,0.96875
21,watts,0.0076453798817761225
